,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,percentage_votes_used,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop
1186,0x2b24b4cc6fdb779feebbd3c3e604c4e5169db971,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1187,0x2b33b898775568ce90c9a1c6628a5153c57237f6,0.0,0.0,0.01,0.0,0.0,11.0,0.0,0.0,0.0,0.04,10,0,0.01,0.15,0.0,6e-05
1188,0x2b366a32b1b72724537507ce829d2eaee86906a9,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.000769230769230768
1189,0x2b3a9459c156b1d48bb781bf26772aeeb8c346c5,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1190,0x2b40f9e5372d3423c09046dd91c7b0dca2ff7b55,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1191,0x2b423d79ea405083f2a552a71e424e9d15fe1f8c,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1192,0x2b47c57a4c9fc1649b43500f4c0cda6cf29be278,0.0,0.0,0.0,0.0,0.0,172.0,0.0039395601954026,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1193,0x2b5425a5c994822f553c8e1e589ddd0e55ecd81a,0.0,0.0,0.1559,0.0,0.0,7.0,0.000118755294716,0.0,0.0,0.04,10,0,0.1559,0.15,0.0,0.0009409541851338674
1194,0x2b5556796201d38b84717aa607fc501e3353610e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,1.0,0.15,0.0,0.006
1195,0x2b6b7be51a73d5002f86373cf4d2603776e226ae,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1196,0x2b71f066d2b1ff54abc3e0766fce36d066e5a330,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.25,0.15,0.0,0.0015
1197,0x2b7e23c5f79ca72df79294728347abb2461aed91,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1198,0x2b7e6030543acdd23c609c63631473c239daf1e3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0714285714285714,0.0,0.0,20,0,0.0,0.0,0.0,0.001428571428571428
1199,0x2b8102bfca48354a33396cb263f369c519d4ce54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1200,0x2b92fe924966ce324fcce076728d28253dd13b7c,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.000769230769230768
1201,0x2b9eea189dcda18d1d73ca05440f55fdea9a6b56,0.0,0.0,0.0,0.0,10.0,98.0,3.897381990110958e-05,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.0010546828326263738
1202,0x2ba117929c3c53ac7c38ad870321573c740cf139,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.000769230769230768
1203,0x2ba1473cb3973c288312a92fb8930bb0af2cae02,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1204,0x2ba4e7259e6d5ae5e72a50620b6e64808fc8b313,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0523809523809523,0.0,0.0,30,0,0.0,0.0,0.0,0.0015714285714285689
1205,0x2ba7ef752b2724cd5bab9be5527118f3532ff381,0.0,0.1,0.0,0.0,375.0,0.0,0.0002107172947204,0.9905660377358492,0.0,0.04,140,0,0.1,0.15,0.0,0.14074667257185572
1206,0x2bbf34c5eaf9498c88c9d1cd04f3885da53670b1,0.0,0.0,0.0,0.0,0.0,4.0,3.881939168951529e-05,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1207,0x2bc05ae76e47849692b6ba5fc39e7bf07d6dc750,0.0,0.0,0.0,0.0,60.0,11.0,0.0,0.8571428571428571,0.0,0.0,30,0,0.0,0.0,0.0,0.02571428571428571
